Producto;Descripcion;Unidad;C. UNIT; C. UNIT.2 
601.02.017;BALON DE GAS CON ARGON 10 MT3;UND;17.80 ;17.79972727
602.01.424;CAPOTINES PARA LLUVIA TALLA L                               ;UND;16.95 ;16.949
801.15.1780;CAPUCHON RJ45 MANGA PROTECTORA PLUG RJ45 CAPUCHA RJR45;UND;74.66 ;74.66
605.02.984;BARRA REDONDA BRONCE SAE 65 DE 80MM EXT. X 40MM DE LARGO;UND;190.00 ;190
18.51.02.002;Remote Controller;UND;2,798.96 ;2798.955
501.01.201;"ARANDELA DE PRESION FN 3/16""";CIEN;0.98 ;0.0098
604.05.0222;CINTILLO DE 150 MM;CIEN;1.83 ;0.0183
501.02.204;"ARANDELA PLANA FN 3/16""";CIEN;1.88 ;0.0188
501.02.303;ARANDELA PLANA ZINC 3/8;CIEN;2.88 ;0.028829809
504.02.302;"TUERCA HEX ZINC 3/16""";CIEN;3.51 ;0.03507205
604.05.024;CINTILLO DE 200 MM;CIEN;5.20 ;0.052038437
505.02.008;"TIRAFON 1/4"" X 2""";CIEN;5.61 ;0.05614738
503.06.006;"STOVE BOLTS 3/16"" X 1 1/4"" CAB. PAN";CIEN;7.21 ;0.0721
603.01.923;"PERNO AUTOPERFORANTE Nº 14 X 1"" CAB.HEX. PUNTA BROCA C/ ARANDELA DE NEOPRENO";CIEN;13.19 ;0.13187436
604.05.093;CINTILLO DE 500MM;CIEN;14.00 ;0.14
606.01.903;TIZAS DE COLORES;CIEN;19.00 ;0.19
606.01.152;CHINCHES PUSH PINS CJA X 50 PCS;CJA;0.73 ;0.725714286
606.01.302;GRAPAS RAPID 26/6 X 5000 PCS;CJA;2.04 ;2.04
602.01.503;GUANTE DE NITRILO SEC-375-L MICROFLEX ANSELL T/L X 50 UND;CJA;51.25 ;51.25028235
409.18.767;ACEITE NEUMATICO CHESTERTON 652;GALON;621.24 ;621.235
409.18.769;ACEITE PARA TEMPERATURA -25º A 270ºC CHESTERTON 610MT PLUS;GALON;1,413.74 ;1413.74
605.03.554;SHAMPO PARA LAVADO DE AUTO;GL;10.20 ;10.19642857
10.42.001;QUITASARRO ECOLOGICO;GL;13.03 ;13.0343
606.03.015;BENCINA;GL;19.00 ;19
27.03.01.402;LID 402 - DESOXIDANTE PARA METALES NO FERROSOS;GL;38.50 ;38.5
601.01.019;ACEITE SHELL TELUS 68;GL;48.96 ;48.95612133
202.01.003;BASE ZINCROMATO;GL;49.00 ;49
605.03.651;REFRIGERANTE Y ANTIOXIDANTE;GL;54.44 ;54.44065
601.03.011;ACEITE MOBIL DTE 24;GL;81.80 ;81.798
201.03.003;PINTURA LIQ. AIRE TEKNOGLOSS AMARILLO;GL;94.80 ;94.8
201.03.002;PINTURA LIQ. AIRE TEKNOGLOSS ALUMINIO;GL;99.00 ;99
601.01.101;MEKANOL ( P/MATRICERIA );GL;141.41 ;141.4122361
608.01.379;SEPARADOR DE DOCUMENTOS A4 ALFABETICO A-Z;JGO;5.19 ;5.18739899
801.12.004;MACHO M4;JGO;11.15 ;11.15
801.12.005;MACHO M6;JGO;15.00 ;15
801.12.009;JUEGO DE MACHO DE ROSCAR M8;JGO;106.71 ;106.71
801.01.261;DETECTOR DE FISURAS (REVELADOR , PENETRANTE , LIMPIADOR );JGO;127.35 ;127.345
801.01.168;GONIOMETRO ( ESCUADRA DE COMBINACION );JGO;304.01 ;304.0106021
603.02.190;JUEGO BROCA HASTA DE 1/16 - 1/2;JGO;387.00 ;387
18.57.01.001;SPARES OF CHARGING SHELF;JGO;599.18 ;599.18
801.15.1533;DC Voltage Transducer: USD230.00/Set (Stocks);JGO;1,103.61 ;1103.61
