Producto;Descripcion;Unidad;Familia;TIPO ALMACENAMIENTO;RACKEABLE;NIVEL RACK;ZONA / UBICACION
801.15.5540;"CONJUNTO DE POLIPROPILENO   (ROPA DE FRIO ""CALENTADORES"")";UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.189;CASCO MSA V-GARD FAST TRACK COLOR ANARANJADO;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.217;MASCARILLA KN95;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.199;Clip adaptador universal a casco;UND;EPP;EPP;SI;1;RACK NIVEL 1
801.15.6565;"POLO MANGA LARAGA COLOR AMARILLO C/ESTAMPADO TALLA ""L""";UND;EPP;EPP;SI;2;RACK NIVEL 2
602.03.1300;ADAPTADOR 502 PARA FILTROS;UND;EPP;EPP;SI;1;RACK NIVEL 1
11.07.05.006;"LENTES DE SEGURIDAD MARCA: GALAXI; MODELO: GX30 LUNAS CLAROS";UND;EPP;EPP;SI;1;RACK NIVEL 1
12.14.02.008;CEPILLO DE LIMPIEZA PARA SIERRA CINTA SHARK 331;UND;MATERIALES;SUELTO;SI;2;RACK NIVEL 2
602.01.125;Respirador de Silicón 7502 de Media Cara de 3M;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.014;TAPONES DE OIDO;PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.165;BOTA DE SEGURIDAD C/NEGRO TALLA 46;PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.056;CAMISAS EN DRILL;UND;EPP;EPP;SI;2;RACK NIVEL 2
602.02.067;BOTAS DIELECTRICAS;PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.391;GUANTE ANTIVIBRATORIO  A790 PORTWEST                            ;PAR;EPP;EPP;SI;2;RACK NIVEL 2
601.01.14;FILTRO 2097, CONTRA POLVOS, HUMOS, GASES DE SOLDAD;PAR;EPP;EPP;SI;1;RACK NIVEL 1
801.01.015;CARETAS  ( PARA SOLDAR );UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.050;POLO CUELLO REDONDO MANGA LARGA TALLA :XXL;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.080;PANTALON DENIM ;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.201;CHALECOS JRM;UND;EPP;EPP;SI;2;RACK NIVEL 2
602.01.055;CAMISAS EN DENIM;UND;EPP;EPP;SI;2;RACK NIVEL 2
602.01.156;BOTA DE SEGURIDAD C/NEGRO TALLA 39;PAR;EPP;EPP;SI;1;RACK NIVEL 1
606.01.601;CINTA ADHESIVA PEGAFAN 3/4 X 36 YDAS CRISTALINO;UND;UTILES DE OFICINA Y COMPUTO;SUELTO;SI;1;RACK NIVEL 1
601.01.425;GUANTE ANTI IMPACTO Y ANTI CORTE;PAR;EPP;EPP;SI;2;RACK NIVEL 2
801.01.581;CINTURON PORTA HERRAMIENTAS PARA ELECTRICISTA;UND;EPP;EPP;SI;2;RACK NIVEL 2
606.01.056;CINTA AISLANTE 3M 1700 NEGRA ;UND;#N/D;SUELTO;SI;2;RACK NIVEL 2
602.01.016;CAPUCHA PARA SOLDADOR;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.231;MANGAS RESISTENTES AL CORTE;PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.032;PANTALON EN DRILL;UND;EPP;EPP;SI;2;RACK NIVEL 2
602.01.020.16;"GUANTE P/SOLDAR 16""";PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.555;POLO CUELLO REDONDO MANGA LARGA TALLA :XXXL;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.153;POLO CUELLO REDONDO MANGA LARGA TALLA :XL;UND;EPP;EPP;SI;1;RACK NIVEL 1
11.07.10.002;"LENTES DE SEGURIDAD MARCA: GALAXI; MODELO: GX30 LUNAS OSCURAS";UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.163;BOTA DE SEGURIDAD C/NEGRO TALLA 36;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.152;POLO CUELLO REDONDO MANGA LARGA TALLA :L;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.390;PROTECTOR METATARSAL DE ALUMINIO   ;PAR;EPP;EPP;SI;2;RACK NIVEL 2
602.01.066;COPA NASAL 3M 6894 P/6800 P/MASCARILLA PANORAMICA;UND;EPP;EPP;SI;1;RACK NIVEL 1
602.01.042;"GUANTES T/INGENIERO 10.5"" L-102745";PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.023;GUANTES DE JEBE IND.C/35;PAR;EPP;EPP;SI;1;RACK NIVEL 1
602.01.052;ARNES 3M 6897 P/RESPIRADOR 6800 P/MASCARA PANORAMICA;UND;EPP;EPP;SI;1;RACK NIVEL 1
