N°;Producto;Descripcion;Unidad;Stock Bodega;FAMILIA;Familia2;Cantidad Física;DIF;UM;Presentación;N° Cajas/Bultos;Largo (cm);Ancho (cm);Alto (cm);Peso Aprox. (kg)-unitario;PESO TOTAL CANT FISICA;Largo (cm)3;Ancho (cm)4;Alto (cm)5; PESO Nivel de Caja ;OBSERVACION;comentario;RACK;Ubicación actual;almacenamiento;contedor;Responsable;FECHA; COSTO UNITARIO ; TOTAL  ; S/ DIF ;rotacion;LINEA ;PRIORIDAD;Vida Util validado por SSOMA;Compatibilidad / segregación obligatoria ;Condiciones de almacenamiento y medidas de seguridad 
468;20.90.04.002;"BEARINGS 2"" SPHERICAL (349369)";UND;2;REPUESTOS;REPUESTO;2;0;UND;CAJA;1 UND;15.5;17.5;10;4.499;8.998;;;;;OK;;1;NIVEL1;C.C.01;2;;; S/ 3,208.15 ; S/ 6,416.31 ; S/ -   ;MEDIA;GRANALLA;ESPECIFICO;0;0;0
469;20.90.08.001;BLADES B-49 ( 202121 );UND;10;REPUESTOS;REPUESTO;30;20;UND;SUELTO;SUELTO;28.5;10.5;1.5;3.039;91.17;;;;;SOBRANTE;;1;NIVEL1;C.C.01;2;;; S/ 1,039.53 ; S/ 10,395.33 ; S/ 20,790.66 ;MEDIA;GRANALLA;ESPECIFICO;0;0;0
635;20.90.21.001;IMPELLER HUB (202192);UND;2;REPUESTOS;REPUESTO;2;0;UND;SUELTO;1 UND;10;10;6.5;3.869;7.738;;;;;OK;;1;NIVEL1;C.C.01;2;;; S/ 1,455.54 ; S/ 2,911.08 ; S/ -   ;MEDIA;GRANALLA;RECURRENTE;0;0;0
524;604.05.022;CINTILLO DE 150 MM;CIEN;1;REPUESTOS;REPUESTO;2;1;CIEN;EMPAQUE;100 UND;21;10;0.5;0.062;0.124;;;;;SOBRANTE;CAJA #12;1;NIVEL1;C.C.02;2;;; S/ -   ; S/ -   ; S/ -   ;MEDIA;0;0;0;0;0
525;604.05.024;CINTILLO DE 200 MM;CIEN;1;REPUESTOS;REPUESTO;1;0;CIEN;EMPAQUE;100 UND;25;10;0.5;0.086;0.086;;;;;OK;CAJA #12;1;NIVEL1;C.C.02;2;;; S/ 5.20 ; S/ 5.20 ; S/ -   ;MEDIA;TALLER;RECURRENTE;0;0;0
526;604.05.030;CINTILLO DE 300 MM;UND;1;REPUESTOS;REPUESTO;1;0;UND;EMPAQUE;100 UND;39;12;0.5;0.137;0.137;;;;;OK;CAJA #12;1;NIVEL1;C.C.02;2;;; S/ -   ; S/ -   ; S/ -   ;MEDIA;0;0;0;0;0
528;604.05.093;CINTILLO DE 500MM;CIEN;2;REPUESTOS;REPUESTO;2;0;CIEN;EMPAQUE;100 UND;59;12;0.5;0.346;0.692;;;;;OK;CAJA #12;1;NIVEL1;C.C.02;2;;; S/ 14.00 ; S/ 28.00 ; S/ -   ;MEDIA;TALLER;RECURRENTE;0;0;0
446;504.02.704.01;ARANDELA DE FIJACION MB 11;UND;6;REPUESTOS;REPUESTO;6;0;UND;SUELTO;;8;0.5;;0.021;0.126;;;;;OK;CAJA # 11;1;NIVEL1;C.C.03;2;;; S/ 5.63 ; S/ 33.79 ; S/ -   ;BAJA;ROLL DIAGONALES;RECURRENTE;0;0;0
462;605.02.984;BARRA REDONDA BRONCE SAE 65 DE 80MM EXT. X 40MM DE LARGO;UND;2;REPUESTOS;REPUESTO;2;0;UND;SUELTO;;8.5;4.5;0;2.197;4.394;;;;;OK;CAJA # 11;1;NIVEL1;C.C.03;2;;; S/ 190.00 ; S/ 380.00 ; S/ -   ;BAJA;ROLL FORMING;ESPORADICO;0;0;0
472;603.01.426;BROCA CENTRAL 5mm;UND;3;REPUESTOS;REPUESTO;2;-1;UND;SUELTO;;6.5;1;0;0.035;0.07;;;;;FALTANTE;CAJA # 11;1;NIVEL1;C.C.03;2;;; S/ 26.65 ; S/ 79.96 ;-S/ 26.65 ;BAJA;HERRAMIENTA;ESPORADICO;0;0;0
473;603.01.163;BROCA DE CENTRAR N° 3 DORMER;UND;1;REPUESTOS;REPUESTO;1;0;UND;SUELTO;;5;0.5;0;0.01;0.01;;;;;OK;CAJA # 11;1;NIVEL1;C.C.03;2;;; S/ 31.86 ; S/ 31.86 ; S/ -   ;BAJA;HERRAMIENTA;ESPORADICO;0;0;0
486;409.12.1290.011;Cable Siliconado para ignicion  - 3003972;UND;1;REPUESTOS;REPUESTO;1;0;UND;SUELTO;;16;15;0.5;0.032;0.032;;;;;OK;CAJA # 11;1;NIVEL1;C.C.03;2;;; S/ 48.62 ; S/ 48.62 ; S/ -   ;BAJA;QUEMADOR;ESPORADICO;0;0;0
577;801.06.174.2;CUCHILLA PANTOGRAFO CARBURADA DE 8 MM;UND;1;REPUESTOS;REPUESTO;1;0;UND;CAJA;1 UND;2;1.5;12;0.082;0.082;;;;;OK;CAJA # 11;1;NIVEL1;C.C.03;2;;; S/ 48.98 ; S/ 48.98 ; S/ -   ;BAJA;HERRAMIENTA;ESPORADICO;0;0;0
